Time,OverstimulationLevel,AdaptedLevel,AdaptationMultiplier,HeadRotationSpeed,DiscomfortLevel,ActiveTriggers
20.298,1.0000,0.8000,0.8000,0.00,0.0000,1
20.401,1.0000,0.8000,0.8000,0.00,0.0000,1
20.503,1.0000,0.8000,0.8000,0.00,0.0000,1
20.603,1.0000,0.8000,0.8000,0.00,0.0000,1
20.706,1.0000,0.8000,0.8000,0.00,0.0000,1
20.806,1.0000,0.8000,0.8000,0.00,0.0000,1
20.909,1.0000,0.8000,0.8000,0.00,0.0000,1
21.009,1.0000,0.8000,0.8000,0.00,0.0000,1
21.111,1.0000,0.8000,0.8000,0.00,0.0000,1
21.212,1.0000,0.8000,0.8000,0.00,0.0000,1
21.314,1.0000,0.8000,0.8000,0.00,0.0000,1
21.415,1.0000,0.8000,0.8000,0.00,0.0000,1
21.516,1.0000,0.8000,0.8000,0.00,0.0000,1
21.618,1.0000,0.8000,0.8000,0.00,0.0000,1
21.720,1.0000,0.8000,0.8000,0.00,0.0000,1
21.821,1.0000,0.8000,0.8000,0.00,0.0000,1
21.921,1.0000,0.8000,0.8000,0.00,0.0000,1
22.022,1.0000,0.8000,0.8000,0.00,0.0000,1
22.124,1.0000,0.8000,0.8000,0.00,0.0000,1
22.225,1.0000,0.8000,0.8000,0.00,0.0000,1
22.327,1.0000,0.8000,0.8000,0.00,0.0000,1
22.428,1.0000,0.8000,0.8000,0.00,0.0000,1
22.528,1.0000,0.8000,0.8000,0.00,0.0000,1
22.628,1.0000,0.8000,0.8000,0.00,0.0000,1
22.730,1.0000,0.8000,0.8000,0.00,0.0000,1
22.830,1.0000,0.8000,0.8000,0.00,0.0000,1
22.932,1.0000,0.8000,0.8000,0.00,0.0000,1
23.034,1.0000,0.8000,0.8000,0.00,0.0000,1
23.136,1.0000,0.8000,0.8000,0.00,0.0000,1
23.237,1.0000,0.8000,0.8000,0.00,0.0000,1
23.337,1.0000,0.8000,0.8000,0.00,0.0000,1
23.440,1.0000,0.8000,0.8000,0.00,0.0000,1
23.540,1.0000,0.8000,0.8000,0.00,0.0000,1
23.643,1.0000,0.8000,0.8000,0.00,0.0000,1
23.743,1.0000,0.8000,0.8000,0.00,0.0000,1
23.844,1.0000,0.8000,0.8000,0.00,0.0000,1
23.946,1.0000,0.8000,0.8000,0.00,0.0000,1
24.047,1.0000,0.8000,0.8000,0.00,0.0000,1
24.149,1.0000,0.8000,0.8000,0.00,0.0000,1
24.250,1.0000,0.8000,0.8000,0.00,0.0000,1
24.352,1.0000,0.8000,0.8000,0.00,0.0000,1
24.455,1.0000,0.8000,0.8000,0.00,0.0000,1
24.557,1.0000,0.8000,0.8000,0.00,0.0000,1
24.661,1.0000,0.8000,0.8000,0.00,0.0000,1
24.764,1.0000,0.8000,0.8000,0.00,0.0000,1
24.864,1.0000,0.8000,0.8000,0.00,0.0000,1
24.966,1.0000,0.8000,0.8000,0.00,0.0000,1
25.072,1.0000,0.8000,0.8000,0.00,0.0000,1
25.172,1.0000,0.8000,0.8000,0.00,0.0000,1
25.273,1.0000,0.8000,0.8000,0.00,0.0000,1
25.374,1.0000,0.8000,0.8000,0.00,0.0000,1
25.474,1.0000,0.8000,0.8000,0.00,0.0000,1
25.580,1.0000,0.8000,0.8000,0.00,0.0000,1
25.680,1.0000,0.8000,0.8000,0.00,0.0000,1
25.781,1.0000,0.8000,0.8000,0.00,0.0000,1
25.882,1.0000,0.8000,0.8000,0.00,0.0000,1
25.982,1.0000,0.8000,0.8000,0.00,0.0000,1
26.083,1.0000,0.8000,0.8000,0.00,0.0000,1
26.183,1.0000,0.8000,0.8000,0.00,0.0000,1
26.283,1.0000,0.8000,0.8000,0.00,0.0000,1
26.385,1.0000,0.8000,0.8000,0.00,0.0000,1
26.486,1.0000,0.8000,0.8000,0.00,0.0000,1
26.588,1.0000,0.8000,0.8000,0.00,0.0000,1
26.690,1.0000,0.8000,0.8000,0.00,0.0000,1
26.791,1.0000,0.8000,0.8000,0.00,0.0000,1
26.892,1.0000,0.8000,0.8000,0.00,0.0000,1
26.994,1.0000,0.8000,0.8000,0.00,0.0000,1
27.095,1.0000,0.8000,0.8000,0.00,0.0000,1
27.198,1.0000,0.8000,0.8000,0.00,0.0000,1
27.300,1.0000,0.8000,0.8000,0.00,0.0000,1
27.402,1.0000,0.8000,0.8000,0.00,0.0000,1
27.504,1.0000,0.8000,0.8000,0.00,0.0000,1
27.606,1.0000,0.8000,0.8000,0.00,0.0000,1
27.709,1.0000,0.8000,0.8000,0.00,0.0000,1
27.809,1.0000,0.8000,0.8000,0.00,0.0000,1
27.910,1.0000,0.8000,0.8000,0.00,0.0000,1
28.011,1.0000,0.8000,0.8000,0.00,0.0000,1
28.112,1.0000,0.8000,0.8000,0.00,0.0000,1
28.217,1.0000,0.8000,0.8000,0.00,0.0000,1
28.317,1.0000,0.8000,0.8000,0.00,0.0000,1
28.418,1.0000,0.8000,0.8000,0.00,0.0000,1
28.518,1.0000,0.8000,0.8000,0.00,0.0000,1
28.618,1.0000,0.8000,0.8000,0.00,0.0000,1
28.719,1.0000,0.8000,0.8000,0.00,0.0000,1
28.820,1.0000,0.8000,0.8000,0.00,0.0000,1
28.920,1.0000,0.8000,0.8000,0.00,0.0000,1
29.023,1.0000,0.8000,0.8000,0.00,0.0000,1
29.125,1.0000,0.8000,0.8000,0.00,0.0000,1
29.226,1.0000,0.8000,0.8000,0.00,0.0000,1
29.328,1.0000,0.8000,0.8000,0.00,0.0000,1
29.428,1.0000,0.8000,0.8000,0.00,0.0000,1
29.528,1.0000,0.8000,0.8000,0.00,0.0000,1
29.630,1.0000,0.8000,0.8000,0.00,0.0000,1
29.731,1.0000,0.8000,0.8000,0.00,0.0000,1
29.835,1.0000,0.8000,0.8000,0.00,0.0000,1
29.936,1.0000,0.8000,0.8000,0.00,0.0000,1
30.039,1.0000,0.8000,0.8000,0.00,0.0000,1
30.141,1.0000,0.8000,0.8000,0.00,0.0000,1
30.242,1.0000,0.8000,0.8000,0.00,0.0000,1
30.343,1.0000,0.8000,0.8000,0.00,0.0000,1
30.444,1.0000,0.8000,0.8000,0.00,0.0000,1
30.545,1.0000,0.8000,0.8000,0.00,0.0000,1
30.645,1.0000,0.8000,0.8000,0.00,0.0000,1
30.745,1.0000,0.8000,0.8000,0.00,0.0000,1
30.847,1.0000,0.8000,0.8000,0.00,0.0000,1
30.952,1.0000,0.8000,0.8000,0.00,0.0000,1
31.055,1.0000,0.8000,0.8000,0.00,0.0000,1
31.157,1.0000,0.8000,0.8000,0.00,0.0000,1
31.260,1.0000,0.8000,0.8000,0.00,0.0000,1
31.362,1.0000,0.8000,0.8000,0.00,0.0000,1
31.463,1.0000,0.8000,0.8000,0.00,0.0000,1
31.565,1.0000,0.8000,0.8000,0.00,0.0000,1
31.665,1.0000,0.8000,0.8000,0.00,0.0000,1
31.768,1.0000,0.8000,0.8000,0.00,0.0000,1
31.871,1.0000,0.8000,0.8000,0.00,0.0000,1
31.973,1.0000,0.8000,0.8000,0.00,0.0000,1
32.073,1.0000,0.8000,0.8000,0.00,0.0000,1
32.174,1.0000,0.8000,0.8000,0.00,0.0000,1
32.276,1.0000,0.8000,0.8000,0.00,0.0000,1
32.377,1.0000,0.8000,0.8000,0.00,0.0000,1
32.478,1.0000,0.8000,0.8000,0.00,0.0000,1
32.579,1.0000,0.8000,0.8000,0.00,0.0000,1
32.679,1.0000,0.8000,0.8000,0.00,0.0000,1
32.780,1.0000,0.8000,0.8000,0.00,0.0000,1
32.880,1.0000,0.8000,0.8000,0.00,0.0000,1
32.980,1.0000,0.8000,0.8000,0.00,0.0000,1
33.081,1.0000,0.8000,0.8000,0.00,0.0000,1
33.182,1.0000,0.8000,0.8000,0.00,0.0000,1
33.283,1.0000,0.8000,0.8000,0.00,0.0000,1
33.386,1.0000,0.8000,0.8000,0.00,0.0000,1
33.486,1.0000,0.8000,0.8000,0.00,0.0000,1
33.587,1.0000,0.8000,0.8000,0.00,0.0000,1
33.688,1.0000,0.8000,0.8000,0.00,0.0000,1
33.789,1.0000,0.8000,0.8000,0.00,0.0000,1
33.889,1.0000,0.8000,0.8000,0.00,0.0000,1
33.992,1.0000,0.8000,0.8000,0.00,0.0000,1
34.093,1.0000,0.8000,0.8000,0.00,0.0000,1
34.195,1.0000,0.8000,0.8000,0.00,0.0000,1
34.297,1.0000,0.8000,0.8000,0.00,0.0000,1
34.398,1.0000,0.8000,0.8000,0.00,0.0000,1
34.501,1.0000,0.8000,0.8000,0.00,0.0000,1
34.602,1.0000,0.8000,0.8000,0.00,0.0000,1
34.705,1.0000,0.8000,0.8000,0.00,0.0000,1
34.805,1.0000,0.8000,0.8000,0.00,0.0000,1
34.906,1.0000,0.8000,0.8000,0.00,0.0000,1
35.009,1.0000,0.8000,0.8000,0.00,0.0000,1
35.111,1.0000,0.8000,0.8000,0.00,0.0000,1
35.211,1.0000,0.8000,0.8000,0.00,0.0000,1
35.314,1.0000,0.8000,0.8000,0.00,0.0000,1
35.415,1.0000,0.8000,0.8000,0.00,0.0000,1
35.519,1.0000,0.8000,0.8000,0.00,0.0000,1
35.622,1.0000,0.8000,0.8000,0.00,0.0000,1
35.723,1.0000,0.8000,0.8000,0.00,0.0000,1
35.826,1.0000,0.8000,0.8000,0.00,0.0000,1
35.928,1.0000,0.8000,0.8000,0.00,0.0000,1
36.030,1.0000,0.8000,0.8000,0.00,0.0000,1
36.131,1.0000,0.8000,0.8000,0.00,0.0000,1
36.232,1.0000,0.8000,0.8000,0.00,0.0000,1
36.334,1.0000,0.8000,0.8000,0.00,0.0000,1
